image_id,donor_id,timestep,correct_mse,wrong_mse,delta,prediction_difference_rms
16584,40682,50,0.6023187637329102,0.6068406701087952,0.00452190637588501,0.07018420100212097
16584,40682,200,0.3582726716995239,0.36271893978118896,0.004446268081665039,0.07650301605463028
16584,40682,500,0.10756479948759079,0.11215253174304962,0.004587732255458832,0.0659126490354538
16584,40682,800,0.01658342219889164,0.0174529030919075,0.0008694808930158615,0.03376492112874985
16584,40682,950,0.004552644677460194,0.005015644244849682,0.0004629995673894882,0.016579698771238327
40682,38942,50,0.47027260065078735,0.47454532980918884,0.004272729158401489,0.07239427417516708
40682,38942,200,0.2531322240829468,0.2630694508552551,0.00993722677230835,0.08069951832294464
40682,38942,500,0.08606604486703873,0.09186600148677826,0.0057999566197395325,0.06558635830879211
40682,38942,800,0.015507367439568043,0.01697346195578575,0.0014660945162177086,0.03212784603238106
40682,38942,950,0.003937713801860809,0.004080994985997677,0.00014328118413686752,0.01373631414026022
38942,4905,50,0.49444687366485596,0.49659010767936707,0.0021432340145111084,0.04751189053058624
38942,4905,200,0.26023173332214355,0.2632482647895813,0.003016531467437744,0.05494542419910431
38942,4905,500,0.08262108266353607,0.08396905660629272,0.0013479739427566528,0.0425010584294796
38942,4905,800,0.0138838617131114,0.014474445953965187,0.0005905842408537865,0.020906133577227592
38942,4905,950,0.0040303682908415794,0.004092070274055004,6.170198321342468e-05,0.007319041993469
4905,17344,50,0.5437768697738647,0.5487922430038452,0.005015373229980469,0.09033895283937454
4905,17344,200,0.3020938038825989,0.31273508071899414,0.010641276836395264,0.10473919659852982
4905,17344,500,0.10437998920679092,0.10690005123615265,0.002520062029361725,0.07753321528434753
4905,17344,800,0.018660619854927063,0.019226491451263428,0.0005658715963363647,0.03103254921734333
4905,17344,950,0.005713052116334438,0.005821465980261564,0.00010841386392712593,0.015070727095007896
17344,32725,50,0.3936460018157959,0.3985016942024231,0.004855692386627197,0.08020295947790146
17344,32725,200,0.18317052721977234,0.19000108540058136,0.006830558180809021,0.07519058883190155
17344,32725,500,0.05117734149098396,0.05447275936603546,0.0032954178750514984,0.05596509203314781
17344,32725,800,0.009445932693779469,0.010645527392625809,0.0011995946988463402,0.03199009597301483
17344,32725,950,0.0039474074728786945,0.0045378124341368675,0.000590404961258173,0.01501843798905611
32725,28449,50,0.5382607579231262,0.5452272891998291,0.006966531276702881,0.09424219280481339
32725,28449,200,0.2958885431289673,0.3074764907360077,0.011587947607040405,0.10929331183433533
32725,28449,500,0.10196034610271454,0.11005423218011856,0.008093886077404022,0.1018221452832222
32725,28449,800,0.017682872712612152,0.018444113433361053,0.0007612407207489014,0.024539465084671974
32725,28449,950,0.004522819072008133,0.004543358460068703,2.0539388060569763e-05,0.009187844581902027
28449,4723,50,0.5463912487030029,0.5495078563690186,0.003116607666015625,0.06771934032440186
28449,4723,200,0.2764016389846802,0.2833747863769531,0.006973147392272949,0.08349062502384186
28449,4723,500,0.08408650755882263,0.08670513331890106,0.00261862576007843,0.051324691623449326
28449,4723,800,0.012242209166288376,0.013198619708418846,0.0009564105421304703,0.02663995884358883
28449,4723,950,0.0032395138405263424,0.003888736478984356,0.0006492226384580135,0.02279890514910221
4723,70126,50,0.5758739709854126,0.576958179473877,0.0010842084884643555,0.060507968068122864
4723,70126,200,0.3167003393173218,0.32098978757858276,0.004289448261260986,0.07192150503396988
4723,70126,500,0.09281876683235168,0.09618399292230606,0.0033652260899543762,0.056908413767814636
4723,70126,800,0.01427796483039856,0.014503703452646732,0.00022573862224817276,0.021445196121931076
4723,70126,950,0.0036510848440229893,0.003674559760838747,2.347491681575775e-05,0.009521138854324818
