trial_index_0based,masterordering_1based,subjectim_slot_1based,nsd_image_id_0based,nsd_image_id_1based,split,shared1000,subject1,coco_id,coco_split
0,626,626,46002,46003,test,True,True,412922,train2017
1,5013,5013,61882,61883,train,False,True,474858,train2017
2,4850,4850,828,829,train,False,True,320696,val2017
3,8823,8823,67573,67574,train,False,True,234676,train2017
4,9538,9538,16020,16021,train,False,True,301595,train2017
5,6061,6061,40422,40423,train,False,True,129059,train2017
6,4421,4421,51517,51518,train,False,True,172751,train2017
7,3858,3858,62325,62326,train,False,True,481427,train2017
8,8124,8124,50610,50611,train,False,True,169097,train2017
9,4843,4843,55065,55066,train,False,True,186500,train2017
10,7941,7941,37398,37399,train,False,True,379399,train2017
11,4523,4523,18039,18040,train,False,True,27706,train2017
12,1070,1070,67533,67534,train,False,True,234527,train2017
13,9588,9588,21822,21823,train,False,True,319364,train2017
14,4623,4623,35405,35406,train,False,True,18214,train2017
15,3185,3185,21690,21691,train,False,True,581042,train2017
16,4586,4586,28278,28279,train,False,True,81819,train2017
17,1009,1009,10459,10460,train,False,True,547222,train2017
18,8634,8634,2293,2294,train,False,True,88269,val2017
19,9648,9648,44325,44326,train,False,True,406295,train2017
20,9425,9425,38218,38219,train,False,True,120416,train2017
21,1344,1344,30032,30033,train,False,True,151345,train2017
22,7441,7441,65255,65256,train,False,True,225755,train2017
23,3902,3902,64919,64920,train,False,True,486655,train2017
24,8795,8795,12469,12470,train,False,True,290969,train2017
25,1840,1840,43078,43079,train,False,True,401403,train2017
26,1356,1356,8926,8927,train,False,True,542630,train2017
27,5506,5506,9860,9861,train,False,True,21079,train2017
28,666,666,48617,48618,test,True,True,161062,train2017
29,8240,8240,18699,18700,train,False,True,47654,train2017
30,7232,7232,52707,52708,train,False,True,177314,train2017
31,5691,5691,65060,65061,train,False,True,487222,train2017
32,6661,6661,47923,47924,train,False,True,420485,train2017
33,2400,2400,54482,54483,train,False,True,184143,train2017
34,2252,2252,58816,58817,train,False,True,200945,train2017
35,612,612,44980,44981,test,True,True,408965,train2017
36,1609,1609,12258,12259,train,False,True,552461,train2017
37,3579,3579,2548,2549,train,False,True,529568,val2017
38,1703,1703,11018,11019,train,False,True,548913,train2017
39,9976,9976,23358,23359,train,False,True,325211,train2017
40,5770,5770,39386,39387,train,False,True,387256,train2017
41,8748,8748,17681,17682,train,False,True,306688,train2017
42,9202,9202,61819,61820,train,False,True,212479,train2017
43,3123,3123,571,572,train,False,True,419379,val2017
44,436,436,32625,32626,test,True,True,98480,train2017
45,4586,4586,28278,28279,train,False,True,81819,train2017
46,1499,1499,17497,17498,train,False,True,306060,train2017
47,2872,2872,50802,50803,train,False,True,169858,train2017
48,9173,9173,36628,36629,train,False,True,193808,train2017
49,2665,2665,22268,22269,train,False,True,58886,train2017
50,1045,1045,27745,27746,train,False,True,79762,train2017
51,1974,1974,18468,18469,train,False,True,571200,train2017
52,2268,2268,34051,34052,train,False,True,103935,train2017
53,7771,7771,15555,15556,train,False,True,300120,train2017
54,6336,6336,17303,17304,train,False,True,43345,train2017
55,727,727,53052,53053,test,True,True,440792,train2017
56,40,40,4930,4931,test,True,True,268114,train2017
57,6000,6000,43898,43899,train,False,True,460652,train2017
58,7046,7046,3371,3372,train,False,True,263412,train2017
59,1607,1607,17952,17953,train,False,True,569674,train2017
60,2132,2132,31927,31928,train,False,True,357824,train2017
61,5352,5352,50005,50006,train,False,True,552066,train2017
62,2514,2514,35618,35619,train,False,True,110078,train2017
63,5730,5730,4996,4997,train,False,True,268310,train2017
64,4135,4135,3585,3586,train,False,True,526247,train2017
65,5169,5169,33483,33484,train,False,True,101785,train2017
66,5821,5821,2813,2814,train,False,True,419098,val2017
67,8842,8842,17304,17305,train,False,True,43347,train2017
68,4135,4135,3585,3586,train,False,True,526247,train2017
69,4990,4990,27901,27902,train,False,True,342495,train2017
70,9955,9955,34023,34024,train,False,True,103812,train2017
71,7331,7331,17668,17669,train,False,True,306630,train2017
72,3470,3470,7160,7161,train,False,True,537248,train2017
73,9913,9913,27204,27205,train,False,True,339852,train2017
74,3207,3207,45699,45700,train,False,True,199695,train2017
75,5799,5799,6124,6125,train,False,True,45314,train2017
76,4068,4068,45318,45319,train,False,True,410246,train2017
77,2204,2204,42194,42195,train,False,True,398174,train2017
78,7081,7081,15284,15285,train,False,True,299216,train2017
