model_token,hemisphere,parcel_index_zero_based_excluding_medial_wall,schaefer_label_id,snr_rank,mean_ncsnr,vertex_count,vertex_sha256
0,lh,38,39,1,0.8837939500808716,184,2f8031d231ced8da16b9d76b1759bb00495c752579ad6434d5b9e66009a36b91
1,lh,41,42,2,0.7882688641548157,293,85eee786fd05793b0dd7e83840d9056f2c35b03a0a6411f05685c5bbcf414b6f
2,lh,53,54,3,0.7673738598823547,192,f94404a9178ca9e63bbab27c6ac45496c000fb85a18131af560540b26eb2ba50
3,lh,57,58,4,0.7609300017356873,204,41556bb4811fd1a38e6fff0c708ee5fdfa34d4d2bc1921e0b8c7631c06006712
4,lh,13,14,5,0.7592077255249023,408,1707239774276a5ab11fad98b62e2d0d3f1e9f684d66b4ad1d468d8229322795
5,lh,26,27,6,0.7401266098022461,318,9e3ce3e1f4f92deac87723d972f592ce132bb11c0e8a83a2a4468f8727202fc4
6,lh,29,30,7,0.7368682622909546,233,e2b929c4d164452e2141c99e347e390538512c9a852e6e4a21a58568b2cbb6d7
7,lh,182,183,8,0.7111992835998535,336,6c3c9849cb4dc84a0a5731ecf08b99d7d9ea701cf88d90f480128b3ecef35c38
8,lh,39,40,9,0.7105841040611267,241,c2957683fcfc87978212e2cef755ebf5ee5a3d180b0b25c00566cce129af5b34
9,lh,58,59,10,0.6841720342636108,85,3c217bc6f2fe78bca44b5381e6385e5450ad563f638abd9622fd0355d41a3141
10,lh,12,13,11,0.6811837553977966,381,c31f84a2a5e38906dadeb87ccc144e9fab64465b895c0b039e0dd42fcdb5959a
11,lh,48,49,12,0.6668669581413269,326,a71806fc21a5fff5cd1fefa7b44c99aa815c0bafae374fcbb57e6bd8b01078b2
12,lh,183,184,13,0.6449609398841858,201,811ea90e1d0311d51904527d063af129bea2d67b2918b07964ff24cd4575674c
13,lh,43,44,14,0.6397836208343506,218,1a2dd26f452d428e0c53225707369bed34f72b24a6853eb04c6e878afe62d289
14,lh,10,11,15,0.6395871043205261,326,152a559661b366abba4dea9be582c1029dcdaf11f78618e58d2060ea374bdf7b
15,lh,17,18,16,0.6296619772911072,148,fef24c017e9fed904a69248502a0bf3c198a6bc0887e6183208a587055aab181
16,lh,6,7,17,0.6251530051231384,137,cf0bf36a0ccd478664456aa258b0f4e15428c3594e84546af3e23927a0ef5744
17,lh,51,52,18,0.6222882866859436,162,7b991362aac1bcc4ef876e642ef847bd367e7839c6fd6e8a1d4fd245b597c26d
18,lh,35,36,19,0.6210088133811951,354,220db955aa296bf5c0cf9c555cd2cbc7bcf6ecf97f6c8c730f0b2ae62a1b3ed4
19,lh,63,64,20,0.5719456672668457,182,877042279fc10701e65c4a90a817663b7b94bb3f0aac7ddd67fb0e9370c9eea9
20,lh,32,33,21,0.5701537728309631,216,b30931844b32f43a0142753dbde8a50c9d6cc5ab1a066e2d7150b67a7d8c599a
21,lh,185,186,22,0.5547806024551392,109,315ad48ae9f0ee8f1bb55df60c287b99431526bf1e47e7487b1f6c0def62c170
22,lh,23,24,23,0.552130937576294,222,995a72e1a12532db591799e35fbcf8e2f01725e236e90abe72121e731144cda8
23,lh,62,63,24,0.5457936525344849,102,35d38fc4ce373217127dbf5c47023126d4aeba3020989ff14a3db705c7b5e0d7
24,lh,71,72,25,0.5441173315048218,370,f79c4def830cd3021fd8c6bee86b01b10bba20cdc47a78c4469829839ab0d3b2
25,lh,54,55,26,0.5363700985908508,80,d4d241deb4f87330ee1fdb95c3ef3f152bf278523046c65188a28b1187fad529
26,lh,9,10,27,0.5347240567207336,178,43c1378c53ea5f9affe9f91bd8b7b080d32755c5954dcee6387b1bd521f6a5a1
27,lh,60,61,28,0.5291171669960022,358,2bb1fe8a6ca14aadaa0eeeaf267acee45c0dbb79dd41f521aa17ee63258c0b8c
28,lh,44,45,29,0.5204342603683472,130,4eea715b54164f602cb6a69b7d617ef69f3d3fad72b9ceaf73e4afca02b800ec
29,lh,188,189,30,0.5202304720878601,146,8866feac1f73f7aad1b0f3474e41b3552987d5bcfbfa4368db3a7d459e6ecebb
30,lh,69,70,31,0.5175578594207764,302,2b39f844473219d5a7f59de773b41a358b75acb96945a396db5f5fa15ea3cac4
31,lh,28,29,32,0.514133870601654,326,c19fc36498d119d6503686ececcd559c5c624bb0949b4b5f670eea0a5038622f
32,lh,52,53,33,0.5134915113449097,323,604377d670d1a1ee848b961a7aac3e30cf14e088a32e562032ceee9181d35de6
33,lh,191,192,34,0.5133366584777832,256,7e6315c48f9715f71f0d1c626be8ba8fefc202aac9eafc0d5c00fb8c9bb84213
34,lh,7,8,35,0.5118691921234131,564,3518a8b1bce2b8de5c8aff51e39d68c0e943739992f18850017ebe20536bf45b
35,lh,189,190,36,0.5053406357765198,176,3205fb65eb7067600d701c32893a221af81f130dc4ac01744b309f10296d71a7
