checkpoint,split,quality_stratum,n_images,correct_clip,advantage_clip
106250,train,0,11,0.659423909404061,0.134667846289548
106250,train,1,9,0.6888359255260892,0.16947002543343437
106250,train,2,12,0.6535642867287,0.1299917809665203
106250,validation,0,12,0.6208820790052414,0.06236318995555242
106250,validation,1,9,0.6329072730408775,0.09180097447501288
106250,validation,2,11,0.6621163907376203,0.1300284523855556
159375,train,0,11,0.673735651102933,0.15217945115132767
159375,train,1,9,0.7750268114937676,0.2561776985724767
159375,train,2,12,0.6751757711172104,0.13469497859477997
159375,validation,0,12,0.657147966325283,0.10130866120258968
159375,validation,1,9,0.6422329975499047,0.128144265876876
159375,validation,2,11,0.6218032728541981,0.08264434066685764
239063,train,0,11,0.7332969334992495,0.21920049325986343
239063,train,1,9,0.7946267525355021,0.29007842640082043
239063,train,2,12,0.7254155327876409,0.18981602291266123
239063,validation,0,12,0.6235211367408434,0.07005673026045163
239063,validation,1,9,0.6453712814384036,0.1056972626182768
239063,validation,2,11,0.6334051096981222,0.08830488134514201
