image_id,repeat_a,repeat_b,donor_image_id,donor_repeat_a,donor_repeat_b,target_session_a,target_session_b,matched_session_pair
13,0,1,64329,0,1,2,24,True
13,0,2,65409,0,1,2,24,True
13,1,2,10010,1,2,24,24,True
27,0,1,670,0,2,5,23,True
27,0,2,69101,0,2,5,37,True
27,1,2,37499,0,2,23,37,True
71,0,1,2272,0,1,3,4,True
71,0,2,206,0,2,3,11,True
71,1,2,68391,0,2,4,11,True
85,0,1,53166,0,1,28,34,True
85,0,2,54868,0,2,28,34,True
85,1,2,29512,0,1,34,34,True
88,0,1,71004,1,2,11,19,True
88,0,2,47558,0,2,11,25,True
88,1,2,40473,1,2,19,25,True
93,0,1,15040,1,2,3,17,True
93,0,2,71113,0,2,3,39,True
93,1,2,67412,0,2,17,39,True
95,0,1,59101,-1,2,11,31,False
95,0,2,30961,0,1,11,39,True
95,1,2,26070,1,2,31,39,True
99,0,1,42565,0,2,33,33,True
99,0,2,33293,1,2,33,40,True
99,1,2,34282,1,2,33,40,True
103,0,1,43667,1,2,5,5,True
103,0,2,25295,0,2,5,6,True
103,1,2,25295,1,2,5,6,True
110,0,1,61478,0,2,12,17,True
110,0,2,20382,0,2,12,31,True
110,1,2,32335,1,2,17,31,True
113,0,1,44173,0,1,8,8,True
113,0,2,45910,0,2,8,23,True
113,1,2,46599,0,1,8,23,True
119,0,1,27418,0,2,2,10,True
119,0,2,37775,1,2,2,10,True
119,1,2,52688,0,2,10,10,True
140,0,1,28322,1,2,12,13,True
140,0,2,32253,0,2,12,13,True
140,1,2,50259,0,1,13,13,True
144,0,1,52385,1,2,35,35,True
144,0,2,53671,1,2,35,35,True
144,1,2,53765,1,2,35,35,True
147,0,1,59904,1,2,19,19,True
147,0,2,60557,0,1,19,19,True
147,1,2,60557,0,2,19,19,True
154,0,1,69776,1,2,26,26,True
154,0,2,70131,1,2,26,26,True
154,1,2,70162,0,1,26,26,True
155,0,1,8734,0,1,1,3,True
155,0,2,60123,0,2,1,29,True
155,1,2,37675,0,1,3,29,True
156,0,1,63491,0,1,28,28,True
156,0,2,43324,0,2,28,40,True
156,1,2,52454,0,1,28,40,True
169,0,1,3477,1,2,37,37,True
169,0,2,3755,0,1,37,37,True
169,1,2,3755,0,2,37,37,True
176,0,1,52243,0,2,5,23,True
176,0,2,66195,0,1,5,25,True
176,1,2,18381,1,2,23,25,True
179,0,1,37259,1,2,21,28,True
179,0,2,53488,1,2,21,28,True
179,1,2,8196,0,2,28,28,True
189,0,1,72581,0,1,2,6,True
189,0,2,42991,1,2,2,24,True
189,1,2,52773,1,2,6,24,True
192,0,1,13773,0,1,12,13,True
192,0,2,56032,1,2,12,36,True
192,1,2,49943,0,2,13,36,True
194,0,1,62481,0,2,30,32,True
194,0,2,61569,0,1,30,33,True
194,1,2,61555,0,2,32,33,True
198,0,1,42121,0,1,15,17,True
198,0,2,53177,1,2,15,33,True
198,1,2,62153,1,2,17,33,True
200,0,1,3715,1,2,3,3,True
200,0,2,10255,1,2,3,31,True
200,1,2,14106,0,1,3,31,True
204,0,1,709,-1,0,1,16,False
204,0,2,32365,0,2,1,24,True
204,1,2,26419,-1,2,16,24,False
206,0,1,7748,0,1,3,3,True
206,0,2,70848,0,1,3,11,True
206,1,2,72828,0,1,3,11,True
214,0,1,19301,0,1,8,8,True
214,0,2,71205,0,2,8,25,True
214,1,2,1392,0,2,8,25,True
221,0,1,65532,0,2,2,19,True
221,0,2,67103,0,1,2,19,True
221,1,2,12742,0,1,19,19,True
222,0,1,11139,0,1,24,26,True
222,0,2,55579,1,2,24,27,True
222,1,2,69012,0,1,26,27,True
224,0,1,71006,0,1,14,17,True
224,0,2,22374,0,1,14,30,True
224,1,2,63450,0,1,17,30,True
228,0,1,19765,0,1,4,4,True
228,0,2,16318,0,2,4,19,True
228,1,2,16318,1,2,4,19,True
236,0,1,28743,1,2,30,30,True
236,0,2,57997,0,2,30,31,True
236,1,2,59983,1,2,30,31,True
239,0,1,36115,0,2,12,14,True
239,0,2,13545,1,2,12,20,True
239,1,2,71570,0,2,14,20,True
242,0,1,192,1,2,13,36,True
242,0,2,48356,1,2,13,39,True
242,1,2,38103,0,2,36,39,True
246,0,1,19572,1,2,30,38,True
246,0,2,20056,0,1,30,38,True
246,1,2,31895,1,2,38,38,True
251,0,1,51828,0,2,8,21,True
251,0,2,51749,0,2,8,23,True
251,1,2,5558,0,1,21,23,True
266,0,1,60746,0,2,1,25,True
266,0,2,19144,0,2,1,26,True
266,1,2,54029,0,2,25,26,True
269,0,1,12797,0,2,9,14,True
269,0,2,68862,0,1,9,15,True
269,1,2,27772,1,2,14,15,True
270,0,1,47286,0,2,28,29,True
270,0,2,48244,0,2,28,34,True
270,1,2,70440,1,2,29,34,True
295,0,1,44226,0,1,20,20,True
295,0,2,43167,0,2,20,31,True
295,1,2,46744,1,2,20,31,True
304,0,1,40061,0,1,13,13,True
304,0,2,40465,0,1,13,13,True
304,1,2,41006,0,1,13,13,True
317,0,1,62047,0,1,5,25,True
317,0,2,64523,0,2,5,25,True
317,1,2,33637,0,1,25,25,True
318,0,1,20013,0,2,31,36,True
318,0,2,20013,1,2,31,36,True
318,1,2,5683,1,2,36,36,True
322,0,1,6930,0,2,6,38,True
322,0,2,6930,1,2,6,38,True
322,1,2,63072,0,1,38,38,True
327,0,1,22209,0,1,6,7,True
327,0,2,5610,1,2,6,18,True
327,1,2,14729,0,1,7,18,True
330,0,1,56664,0,2,15,27,True
330,0,2,27494,1,2,15,33,True
330,1,2,46058,0,1,27,33,True
351,0,1,65896,1,2,35,35,True
351,0,2,66242,0,1,35,35,True
351,1,2,66242,0,2,35,35,True
356,0,1,67673,0,2,14,15,True
356,0,2,44422,1,2,14,15,True
356,1,2,54099,1,2,15,15,True
384,0,1,33360,1,2,12,13,True
384,0,2,33426,0,1,12,13,True
384,1,2,1204,0,2,13,13,True
392,0,1,36136,0,2,4,6,True
392,0,2,67908,0,2,4,13,True
392,1,2,57872,0,2,6,13,True
398,0,1,43854,0,2,5,13,True
398,0,2,59987,0,2,5,27,True
398,1,2,53084,1,2,13,27,True
402,0,1,39310,0,2,33,33,True
402,0,2,39310,1,2,33,33,True
402,1,2,39842,1,2,33,33,True
409,0,1,19378,0,1,1,21,True
409,0,2,21953,0,2,1,21,True
409,1,2,19451,1,2,21,21,True
418,0,1,20862,0,1,34,34,True
418,0,2,65147,0,2,34,40,True
418,1,2,5350,0,2,34,40,True
425,0,1,18115,-1,2,9,30,False
425,0,2,52729,0,2,9,34,True
425,1,2,42679,0,1,30,34,True
429,0,1,14631,0,1,7,7,True
429,0,2,14858,0,1,7,7,True
429,1,2,14858,0,2,7,7,True
443,0,1,8835,0,2,20,29,True
443,0,2,11330,0,1,20,29,True
443,1,2,52971,1,2,29,29,True
444,0,1,59170,0,2,6,36,True
444,0,2,61065,0,2,6,36,True
444,1,2,43013,0,1,36,36,True
452,0,1,36797,0,2,19,36,True
452,0,2,36054,0,2,19,37,True
452,1,2,67735,1,2,36,37,True
458,0,1,59464,0,2,33,34,True
458,0,2,67261,0,2,33,37,True
458,1,2,43332,1,2,34,37,True
459,0,1,66905,0,2,7,34,True
459,0,2,63994,0,2,7,39,True
459,1,2,63136,0,1,34,39,True
470,0,1,37594,0,1,2,12,True
470,0,2,30474,0,1,2,25,True
470,1,2,18381,0,2,12,25,True
477,0,1,8426,0,1,11,11,True
477,0,2,62247,0,2,11,12,True
477,1,2,62247,1,2,11,12,True
484,0,1,55095,1,2,10,10,True
484,0,2,71004,0,2,10,19,True
484,1,2,5904,0,2,10,19,True
485,0,1,9456,0,2,13,16,True
485,0,2,9456,1,2,13,16,True
485,1,2,42065,1,2,16,16,True
487,0,1,1726,0,2,19,40,True
487,0,2,2591,0,2,19,40,True
487,1,2,56578,1,2,40,40,True
488,0,1,37636,0,1,1,2,True
488,0,2,56548,0,2,1,30,True
488,1,2,17748,0,1,2,30,True
513,0,1,52918,0,1,5,5,True
513,0,2,45634,0,1,5,6,True
513,1,2,46847,0,1,5,6,True
523,0,1,45848,1,2,5,37,True
523,0,2,52067,1,2,5,37,True
523,1,2,15479,0,1,37,37,True
543,0,1,5157,0,1,23,24,True
543,0,2,1146,0,1,23,28,True
543,1,2,5524,1,2,24,28,True
552,0,1,30519,0,1,26,26,True
552,0,2,45298,0,1,26,29,True
552,1,2,45768,1,2,26,29,True
563,0,1,46777,0,1,25,25,True
563,0,2,65383,0,1,25,26,True
563,1,2,65854,1,2,25,26,True
571,0,1,27813,0,1,1,2,True
571,0,2,11880,0,2,1,40,True
571,1,2,64329,0,2,2,40,True
605,0,1,14267,0,2,14,22,True
605,0,2,32906,0,2,14,32,True
605,1,2,61928,1,2,22,32,True
608,0,1,26021,1,2,19,27,True
608,0,2,41455,0,1,19,34,True
608,1,2,69888,0,1,27,34,True
