label,split,image_id,donor_id,condition,candidate,path,sha256,noise_sha256,guidance,clip,pixcorr,ssim,model_sha256
B0,train,16584,40682,correct,0,correct/16584-0.png,19bc326ef142e8c85125b42275e1bd793360a8072afe5c6053b60b671f2a13c4,a7a40302f6fddd927f6db9d528b67f03df45ce3933ba39d58a055f027930964d,4,0.48975300788879395,-0.07437416955280647,0.0744970745137313,
B0,train,16584,40682,correct,1,correct/16584-1.png,5d710ce5f1be07d38d25d012f25eb0fff35b418ff5564238b082eedbd62fa928,a7a40302f6fddd927f6db9d528b67f03df45ce3933ba39d58a055f027930964d,4,0.6127543449401855,0.05717396643328076,0.0874373901529082,
B0,train,16584,40682,wrong,0,wrong/16584-0.png,95039914ad1be56cd5f858ac255e8c17defee598f21be89e1195865cd25a47a1,a7a40302f6fddd927f6db9d528b67f03df45ce3933ba39d58a055f027930964d,4,0.4806344509124756,0.17483668621552156,0.10106989365748574,
B0,train,16584,40682,wrong,1,wrong/16584-1.png,a1ac27f76132c4d0d3f1a29fb16bd7eb9d4247b451d14fd83bf536696c937385,a7a40302f6fddd927f6db9d528b67f03df45ce3933ba39d58a055f027930964d,4,0.5390230417251587,0.19920423424515943,0.10315757428368419,
B0,train,40682,38942,correct,0,correct/40682-0.png,43c0d048ed629688addbad308ee85949d18c3ab1e03d7ef98af940e5fd996aa6,6490897e817774a341cca2ee5aba081e04f285f50e6f0a1474fc3ccbd4a33f68,4,0.7503196001052856,0.604899150994992,0.4436832138423772,
B0,train,40682,38942,correct,1,correct/40682-1.png,4496b1059d35804581002c2cbb70aae034c5e80a58546eb83b615f0c15a6938a,6490897e817774a341cca2ee5aba081e04f285f50e6f0a1474fc3ccbd4a33f68,4,0.8065781593322754,0.594969960849506,0.44635258398800765,
B0,train,40682,38942,wrong,0,wrong/40682-0.png,c116b2e01729d2a7503fc2501ddcad4755735decbab7a3bd1cf1286d418b4034,6490897e817774a341cca2ee5aba081e04f285f50e6f0a1474fc3ccbd4a33f68,4,0.46775805950164795,0.035956529610471945,0.38161437401886583,
B0,train,40682,38942,wrong,1,wrong/40682-1.png,90e8481998d3aea5a2d9a4820e5ef41c3e08dcc4ef78b829cf1c032988b61d7d,6490897e817774a341cca2ee5aba081e04f285f50e6f0a1474fc3ccbd4a33f68,4,0.4324677586555481,-0.01581882677696624,0.4523493133364857,
B0,train,38942,4905,correct,0,correct/38942-0.png,e7c13a6e08b7931301cb6af088344ce68d1ff6ab9530ea6bff368d8b318cb002,6756f9274e866ca54bb80f773b9ae5ebe24c536f1c5877b0f8c954379b24bd06,4,0.7237704992294312,0.10783353979460807,0.4178451563504504,
B0,train,38942,4905,correct,1,correct/38942-1.png,332dda8e7738e1713fbc8a3c3c3808b6531af57338e91019c8968650dc8cab8e,6756f9274e866ca54bb80f773b9ae5ebe24c536f1c5877b0f8c954379b24bd06,4,0.6714237928390503,0.10842407214717059,0.339437661073291,
B0,train,38942,4905,wrong,0,wrong/38942-0.png,88c49e5303f50b104c2ce0f96b145db74c1e78632d9b164edffdac5c86b3cb79,6756f9274e866ca54bb80f773b9ae5ebe24c536f1c5877b0f8c954379b24bd06,4,0.5254460573196411,0.03750522770706019,0.4012725668661994,
B0,train,38942,4905,wrong,1,wrong/38942-1.png,28fc2fe573b2adec805ddc8f8bea1dafcc1b839aab9817c8f86f67a92b23900a,6756f9274e866ca54bb80f773b9ae5ebe24c536f1c5877b0f8c954379b24bd06,4,0.5915606021881104,0.09131744616655413,0.2514700589766607,
B0,train,4905,17344,correct,0,correct/4905-0.png,7979443c631381f8fe7633c6202cab1e8c57d0c246118e7d88ce5fb7c1e65f7f,232ae311abc85f162496cc1486aef8d8928ea428f00d77ec4e79c0b70f3aac41,4,0.6137586236000061,0.04447149544432766,0.24035533363149467,
B0,train,4905,17344,correct,1,correct/4905-1.png,46a6b53b272680646456308d9a11acc980311065bcc41d03bf2d6073fd7b5f84,232ae311abc85f162496cc1486aef8d8928ea428f00d77ec4e79c0b70f3aac41,4,0.745769202709198,-0.007065390332049137,0.2590187265972949,
B0,train,4905,17344,wrong,0,wrong/4905-0.png,39c558e5c81f490984029caf62fee3a20e4a8fd0a23d536d6e2392b0ab67e638,232ae311abc85f162496cc1486aef8d8928ea428f00d77ec4e79c0b70f3aac41,4,0.3992193043231964,-0.0018389689172615801,0.3529073160492385,
B0,train,4905,17344,wrong,1,wrong/4905-1.png,18439bf22df59aa763ac311b9b8b2b748540cd514a9e0f0eea0a6cd234104b6b,232ae311abc85f162496cc1486aef8d8928ea428f00d77ec4e79c0b70f3aac41,4,0.5184952616691589,0.07259006420840472,0.3783219856348236,
B0,train,17344,32725,correct,0,correct/17344-0.png,d4728b81f2d0eb1a2901b8a6750f55aa114028531092c9ac49a3df37171c10a6,d75f90f3c918af7779f08413e1b2dfa9f0b7ab7532546f74ce58b50b36b8817d,4,0.6902438402175903,0.15678543709154807,0.21961800319531666,
B0,train,17344,32725,correct,1,correct/17344-1.png,02a79e71fbb1cea6c4838c9c6dfe576efc80906cef28d42be51610f9d804eed5,d75f90f3c918af7779f08413e1b2dfa9f0b7ab7532546f74ce58b50b36b8817d,4,0.5375503897666931,0.005118340232294565,0.1609041607386539,
B0,train,17344,32725,wrong,0,wrong/17344-0.png,e6f2cdc61380df1d0a6ff34ddc0fd2b56d4e34324238c46bae2b4d175c692660,d75f90f3c918af7779f08413e1b2dfa9f0b7ab7532546f74ce58b50b36b8817d,4,0.5399429798126221,-0.04011945733220371,0.12545720361069013,
B0,train,17344,32725,wrong,1,wrong/17344-1.png,b3a7cff5456813a5fbc8f51caccfe44f6efc62788e0e2b36ef4dbd78a2ca656d,d75f90f3c918af7779f08413e1b2dfa9f0b7ab7532546f74ce58b50b36b8817d,4,0.4652801752090454,0.049171438253022906,0.09040380091634469,
B0,train,32725,28449,correct,0,correct/32725-0.png,3173239a460ebd9eee68bb1a1bdaa0a1b5b2d6d762d6438c854f254ebea3bc16,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.8379642963409424,0.4481025446898564,0.16594947285414502,
B0,train,32725,28449,correct,1,correct/32725-1.png,f1d06f0c9450cbdaa98d563e6aee5646d453d3de308a4893e584bb1474ab78d5,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.8049273490905762,0.3221057082425239,0.15325515188040578,
B0,train,32725,28449,wrong,0,wrong/32725-0.png,7a7646ed146e8a966299e52b9f9ece4e48ef66827ae3d57c181d2ad22ae4b972,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.6356120109558105,0.1374368525347436,0.18922880746335982,
B0,train,32725,28449,wrong,1,wrong/32725-1.png,3db866e902fdc7c7f0369eb1a6b9dd7cae6770d130f82409bc83d5d1a3ab696a,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.5513570308685303,-0.033219175560984124,0.19129803491191869,
B0,train,28449,4723,correct,0,correct/28449-0.png,c2c3febcbae195a58088e918946fa5eb3707e37e99c79e03e4c3e34590221d73,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,4,0.5490641593933105,-0.18517466804887825,0.4676054656171757,
