label,split,correct_clip,correct_pixcorr,correct_ssim,wrong_clip,wrong_pixcorr,wrong_ssim,advantage_clip
B0,train,0.7027638349682093,0.09228137395219654,0.3163930367221647,0.5278915539383888,-0.00143276116677461,0.2822373428720462,0.17487228102982044
H1000,train,0.6980108497664332,0.09616262046123573,0.31575112949204176,,,,
L1000,train,0.6999483932740986,0.09339590644179804,0.31554651836950554,,,,
H2500,train,0.7046836689114571,0.07883555134882805,0.30396515300941224,,,,
L2500,train,0.7117506698705256,0.09685332492961939,0.313760212511499,,,,
H5000,train,0.6806180691346526,0.049240126939046135,0.31170065658344015,0.5352291995659471,0.0016371305246172321,0.27444763834124336,0.14538886956870556
L5000,train,0.7085316320881248,0.08549143930210676,0.31388774876826453,0.5274943406693637,0.0005431047717966439,0.273524278963354,0.18103729141876101
R,train,0.7475904198363423,0.10436082792904502,0.31190193147052253,0.5194746842607856,-0.01225992607279256,0.2676600676235511,0.22811573557555676
B0,validation,0.6408033929765224,0.082480453644485,0.36251401515621606,0.5383630781434476,-0.01062005746424061,0.3156818875302575,0.10244031483307481
H1000,validation,0.6310898805968463,0.09771475273775361,0.3587171775263264,,,,
L1000,validation,0.6451504249125719,0.08577800917662844,0.3586008976804095,,,,
H2500,validation,0.6400752626359463,0.09483652732583411,0.3496696352463341,,,,
L2500,validation,0.6397460736334324,0.08997801017758783,0.357978181683264,,,,
H5000,validation,0.6348880706354976,0.08842637765996704,0.34842866295048613,0.540358959697187,-0.011278817306468554,0.31425180614151604,0.09452911093831062
L5000,validation,0.629589939955622,0.0952819217065107,0.3536292599415115,0.5407871780917048,-0.01375524587663757,0.30887240592544074,0.08880276186391711
R,validation,0.6330641056410968,0.12436233543077291,0.34658937262016004,0.5467106737196445,-0.015308593732693054,0.306096777915076,0.08635343192145228
