/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
H local_update=1 loss=0.073487 elapsed=1.7s
H local_update=10 loss=0.121115 elapsed=7.4s
H local_update=20 loss=0.127212 elapsed=13.5s
H local_update=30 loss=0.093279 elapsed=19.8s
H local_update=40 loss=0.126248 elapsed=26.0s
H local_update=50 loss=0.133982 elapsed=32.1s
H local_update=60 loss=0.095015 elapsed=38.3s
H local_update=70 loss=0.099571 elapsed=44.5s
H local_update=80 loss=0.124056 elapsed=50.6s
H local_update=90 loss=0.115191 elapsed=56.7s
H local_update=100 loss=0.140784 elapsed=62.8s
H local_update=110 loss=0.104637 elapsed=68.9s
H local_update=120 loss=0.127437 elapsed=75.0s
H local_update=130 loss=0.098379 elapsed=81.0s
H local_update=140 loss=0.067416 elapsed=87.1s
H local_update=150 loss=0.096101 elapsed=93.3s
H local_update=160 loss=0.091997 elapsed=99.4s
H local_update=170 loss=0.135789 elapsed=105.6s
H local_update=180 loss=0.142395 elapsed=111.8s
H local_update=190 loss=0.110408 elapsed=117.9s
H local_update=200 loss=0.084135 elapsed=123.9s
H local_update=210 loss=0.116968 elapsed=130.0s
H local_update=220 loss=0.064267 elapsed=136.1s
H local_update=230 loss=0.087849 elapsed=142.2s
H local_update=240 loss=0.096242 elapsed=148.3s
H local_update=250 loss=0.134384 elapsed=154.5s
H local_update=260 loss=0.137165 elapsed=160.6s
H local_update=270 loss=0.081655 elapsed=166.7s
H local_update=280 loss=0.144526 elapsed=172.9s
H local_update=290 loss=0.174325 elapsed=179.0s
H local_update=300 loss=0.111887 elapsed=185.1s
H local_update=310 loss=0.108444 elapsed=191.3s
H local_update=320 loss=0.131287 elapsed=197.4s
H local_update=330 loss=0.163566 elapsed=203.5s
H local_update=340 loss=0.121542 elapsed=209.7s
H local_update=350 loss=0.114274 elapsed=215.8s
H local_update=360 loss=0.153203 elapsed=221.9s
H local_update=370 loss=0.098130 elapsed=228.1s
H local_update=380 loss=0.093444 elapsed=234.2s
H local_update=390 loss=0.099871 elapsed=240.4s
H local_update=400 loss=0.093046 elapsed=246.5s
H local_update=410 loss=0.099871 elapsed=252.7s
H local_update=420 loss=0.115038 elapsed=258.9s
H local_update=430 loss=0.089054 elapsed=265.0s
H local_update=440 loss=0.099942 elapsed=271.1s
H local_update=450 loss=0.092502 elapsed=277.2s
H local_update=460 loss=0.084670 elapsed=283.3s
H local_update=470 loss=0.126177 elapsed=289.4s
H local_update=480 loss=0.120042 elapsed=295.7s
H local_update=490 loss=0.125580 elapsed=301.8s
H local_update=500 loss=0.089336 elapsed=308.0s
H local_update=510 loss=0.117021 elapsed=314.1s
H local_update=520 loss=0.101088 elapsed=320.3s
H local_update=530 loss=0.171119 elapsed=326.4s
H local_update=540 loss=0.109337 elapsed=332.6s
H local_update=550 loss=0.129163 elapsed=338.7s
H local_update=560 loss=0.098737 elapsed=344.8s
H local_update=570 loss=0.172872 elapsed=350.9s
H local_update=580 loss=0.091692 elapsed=357.0s
H local_update=590 loss=0.095295 elapsed=363.2s
H local_update=600 loss=0.130716 elapsed=369.2s
H local_update=610 loss=0.141377 elapsed=375.4s
H local_update=620 loss=0.114182 elapsed=381.5s
H local_update=630 loss=0.070664 elapsed=387.6s
H local_update=640 loss=0.113101 elapsed=393.8s
H local_update=650 loss=0.095156 elapsed=399.8s
H local_update=660 loss=0.101635 elapsed=405.9s
H local_update=670 loss=0.114337 elapsed=412.1s
H local_update=680 loss=0.105789 elapsed=418.1s
H local_update=690 loss=0.112245 elapsed=424.2s
H local_update=700 loss=0.172374 elapsed=430.3s
H local_update=710 loss=0.087709 elapsed=436.4s
H local_update=720 loss=0.082189 elapsed=442.5s
H local_update=730 loss=0.058356 elapsed=448.7s
H local_update=740 loss=0.114105 elapsed=454.8s
H local_update=750 loss=0.149651 elapsed=460.9s
H local_update=760 loss=0.136552 elapsed=467.0s
H local_update=770 loss=0.150804 elapsed=473.1s
H local_update=780 loss=0.112124 elapsed=479.3s
H local_update=790 loss=0.134439 elapsed=485.4s
H local_update=800 loss=0.102530 elapsed=491.6s
H local_update=810 loss=0.055126 elapsed=497.8s
H local_update=820 loss=0.125811 elapsed=503.9s
H local_update=830 loss=0.105404 elapsed=510.0s
H local_update=840 loss=0.144141 elapsed=516.2s
H local_update=850 loss=0.095807 elapsed=522.3s
H local_update=860 loss=0.101898 elapsed=528.4s
H local_update=870 loss=0.093878 elapsed=534.5s
H local_update=880 loss=0.086874 elapsed=540.6s
H local_update=890 loss=0.125361 elapsed=546.7s
H local_update=900 loss=0.103205 elapsed=552.8s
H local_update=910 loss=0.112126 elapsed=558.9s
H local_update=920 loss=0.115382 elapsed=565.0s
H local_update=930 loss=0.144118 elapsed=571.2s
H local_update=940 loss=0.092624 elapsed=577.4s
H local_update=950 loss=0.128030 elapsed=583.7s
H local_update=960 loss=0.086613 elapsed=589.7s
H local_update=970 loss=0.076021 elapsed=595.8s
H local_update=980 loss=0.072439 elapsed=601.9s
H local_update=990 loss=0.105802 elapsed=607.9s
H local_update=1000 loss=0.097166 elapsed=614.0s
H local_update=1010 loss=0.100809 elapsed=631.6s
H local_update=1020 loss=0.136529 elapsed=637.7s
H local_update=1030 loss=0.118179 elapsed=643.9s
H local_update=1040 loss=0.143068 elapsed=650.0s
H local_update=1050 loss=0.094488 elapsed=656.2s
H local_update=1060 loss=0.116327 elapsed=662.3s
