/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
L local_update=1 loss=0.073487 elapsed=1.7s
L local_update=10 loss=0.121105 elapsed=7.2s
L local_update=20 loss=0.127202 elapsed=13.4s
L local_update=30 loss=0.093255 elapsed=19.7s
L local_update=40 loss=0.126231 elapsed=25.9s
L local_update=50 loss=0.134033 elapsed=32.1s
L local_update=60 loss=0.094964 elapsed=38.4s
L local_update=70 loss=0.099538 elapsed=44.5s
L local_update=80 loss=0.124031 elapsed=50.5s
L local_update=90 loss=0.115181 elapsed=56.5s
L local_update=100 loss=0.140786 elapsed=62.5s
L local_update=110 loss=0.104630 elapsed=68.5s
L local_update=120 loss=0.127364 elapsed=74.5s
L local_update=130 loss=0.098369 elapsed=80.5s
L local_update=140 loss=0.067397 elapsed=86.6s
L local_update=150 loss=0.096098 elapsed=92.7s
L local_update=160 loss=0.092023 elapsed=98.7s
L local_update=170 loss=0.135778 elapsed=104.6s
L local_update=180 loss=0.142425 elapsed=110.7s
L local_update=190 loss=0.110406 elapsed=116.6s
L local_update=200 loss=0.084098 elapsed=122.6s
L local_update=210 loss=0.116933 elapsed=128.6s
L local_update=220 loss=0.064269 elapsed=134.7s
L local_update=230 loss=0.087720 elapsed=140.6s
L local_update=240 loss=0.096161 elapsed=146.7s
L local_update=250 loss=0.134388 elapsed=152.9s
L local_update=260 loss=0.137161 elapsed=158.9s
L local_update=270 loss=0.081659 elapsed=164.9s
L local_update=280 loss=0.144567 elapsed=170.8s
L local_update=290 loss=0.174362 elapsed=176.8s
L local_update=300 loss=0.111824 elapsed=182.7s
L local_update=310 loss=0.108371 elapsed=188.8s
L local_update=320 loss=0.131207 elapsed=194.8s
L local_update=330 loss=0.163580 elapsed=200.8s
L local_update=340 loss=0.121488 elapsed=206.9s
L local_update=350 loss=0.114280 elapsed=212.9s
L local_update=360 loss=0.153173 elapsed=219.0s
L local_update=370 loss=0.098164 elapsed=225.0s
L local_update=380 loss=0.093416 elapsed=231.0s
L local_update=390 loss=0.099817 elapsed=236.9s
L local_update=400 loss=0.092972 elapsed=242.9s
L local_update=410 loss=0.099817 elapsed=249.0s
L local_update=420 loss=0.114954 elapsed=255.0s
L local_update=430 loss=0.089025 elapsed=261.0s
L local_update=440 loss=0.099905 elapsed=267.0s
L local_update=450 loss=0.092494 elapsed=272.9s
L local_update=460 loss=0.084624 elapsed=278.9s
L local_update=470 loss=0.126195 elapsed=285.0s
L local_update=480 loss=0.120056 elapsed=291.0s
L local_update=490 loss=0.125554 elapsed=297.0s
L local_update=500 loss=0.089378 elapsed=303.0s
L local_update=510 loss=0.116969 elapsed=309.0s
L local_update=520 loss=0.101053 elapsed=314.9s
L local_update=530 loss=0.171011 elapsed=320.9s
L local_update=540 loss=0.109375 elapsed=326.9s
L local_update=550 loss=0.129206 elapsed=332.9s
L local_update=560 loss=0.098802 elapsed=339.0s
L local_update=570 loss=0.172850 elapsed=345.0s
L local_update=580 loss=0.091705 elapsed=351.0s
L local_update=590 loss=0.095385 elapsed=357.0s
L local_update=600 loss=0.130700 elapsed=363.1s
L local_update=610 loss=0.141350 elapsed=369.1s
L local_update=620 loss=0.114137 elapsed=375.2s
L local_update=630 loss=0.070606 elapsed=381.1s
L local_update=640 loss=0.113079 elapsed=387.1s
L local_update=650 loss=0.095115 elapsed=393.1s
L local_update=660 loss=0.101644 elapsed=399.1s
L local_update=670 loss=0.114360 elapsed=405.2s
L local_update=680 loss=0.105826 elapsed=411.2s
L local_update=690 loss=0.112317 elapsed=417.2s
L local_update=700 loss=0.172482 elapsed=423.3s
L local_update=710 loss=0.087723 elapsed=429.4s
L local_update=720 loss=0.082201 elapsed=435.4s
L local_update=730 loss=0.058368 elapsed=441.4s
L local_update=740 loss=0.114070 elapsed=447.4s
L local_update=750 loss=0.149626 elapsed=453.5s
L local_update=760 loss=0.136511 elapsed=459.5s
L local_update=770 loss=0.150806 elapsed=465.5s
L local_update=780 loss=0.112065 elapsed=471.5s
L local_update=790 loss=0.134429 elapsed=477.6s
L local_update=800 loss=0.102524 elapsed=483.6s
L local_update=810 loss=0.055096 elapsed=489.7s
