method,image_id,cosine,forward_two_way,top1,top5
C,95,0.8522521276548685,1.0,1.0,1.0
C,204,0.7367748588083706,0.9258517034068137,0.0,0.0
C,318,0.7330631270949397,0.9258517034068137,0.0,0.0
C,356,0.7549032067444499,0.9559118236472945,0.0,0.0
C,425,0.8273487509996403,1.0,1.0,1.0
C,458,0.7940566063038961,0.9899799599198397,0.0,0.0
C,637,0.79614405016847,0.9859719438877755,0.0,0.0
C,709,0.6780965258051332,0.8076152304609219,0.0,0.0
C,868,0.7156315674763328,0.8637274549098196,0.0,0.0
C,1015,0.8143063949969329,0.9939879759519038,0.0,1.0
C,1288,0.7275655819343798,0.9178356713426854,0.0,0.0
C,1589,0.7802078847743017,0.9759519038076152,0.0,0.0
C,1744,0.6793701226173292,0.7895791583166333,0.0,0.0
C,1818,0.8217701614773038,0.9959919839679359,0.0,1.0
C,2070,0.4980706587862383,0.10220440881763528,0.0,0.0
C,2125,0.7806191472911568,0.9979959919839679,0.0,1.0
C,2327,0.7957437078613947,0.9939879759519038,0.0,1.0
C,2737,0.8230610800580673,0.9619238476953907,0.0,0.0
C,2795,0.7804112170249398,0.969939879759519,0.0,0.0
C,2980,0.8653849387447389,0.9899799599198397,0.0,0.0
C,3338,0.7220319998444777,0.9078156312625251,0.0,0.0
C,3344,0.5960387628224469,0.2545090180360721,0.0,0.0
C,3368,0.7050437700108079,0.9198396793587175,0.0,0.0
C,3731,0.7152979034385673,0.8857715430861723,0.0,0.0
C,3803,0.7770756742307178,0.9819639278557114,0.0,0.0
C,4292,0.7097027070480233,0.9759519038076152,0.0,0.0
C,4409,0.7722887284053714,0.9939879759519038,0.0,1.0
C,4476,0.7995311110168308,0.9919839679358717,0.0,1.0
C,4509,0.8047340804284223,0.9899799599198397,0.0,0.0
C,4927,0.6973949491218283,0.9599198396793587,0.0,0.0
C,4967,0.8313883958924406,0.9879759519038076,0.0,0.0
C,5340,0.7623054473604225,0.9739478957915831,0.0,0.0
C,5582,0.8249938079744548,0.9959919839679359,0.0,1.0
C,5656,0.7723729988550369,0.9559118236472945,0.0,0.0
C,5683,0.8429277247309395,1.0,1.0,1.0
C,5790,0.7056759358475905,0.8016032064128257,0.0,0.0
C,5929,0.5827448764900035,0.24448897795591182,0.0,0.0
C,6315,0.7796043022314716,0.9819639278557114,0.0,0.0
C,6360,0.5845176094147267,0.21643286573146292,0.0,0.0
C,6454,0.769281474696401,0.9899799599198397,0.0,0.0
C,6603,0.7604841973426892,0.9298597194388778,0.0,0.0
C,6750,0.7342084971162124,0.9779559118236473,0.0,0.0
C,6759,0.8419902930036227,0.9919839679358717,0.0,1.0
C,6770,0.7357373910635452,0.935871743486974,0.0,0.0
C,6991,0.7265040885689033,0.9438877755511023,0.0,0.0
C,7306,0.7282172916640741,0.9338677354709419,0.0,0.0
C,7355,0.7863949233310454,0.9899799599198397,0.0,0.0
C,7899,0.7084287060676554,0.8156312625250501,0.0,0.0
C,8061,0.6214966999058542,0.35070140280561124,0.0,0.0
C,8215,0.6006589779833764,0.3907815631262525,0.0,0.0
C,8234,0.78805649438293,0.969939879759519,0.0,0.0
C,8238,0.780101945405304,0.9739478957915831,0.0,0.0
C,8275,0.6669608706233665,0.5170340681362725,0.0,0.0
C,8367,0.825945672523944,0.9939879759519038,0.0,1.0
C,8828,0.7809691876325675,0.9599198396793587,0.0,0.0
C,8862,0.8258418655901132,0.9959919839679359,0.0,1.0
C,8926,0.8049820590616837,1.0,1.0,1.0
