PCA fit7500 dimension=256
{'label': 'C', 'dimension': 256, 'alpha': 0.1, 'cosine': 0.7621253235344203, 'forward_two_way': 0.8666766766766767, 'top1': 0.058, 'top5': 0.157}
{'label': 'C', 'dimension': 256, 'alpha': 1.0, 'cosine': 0.7621253671698899, 'forward_two_way': 0.8666766766766767, 'top1': 0.058, 'top5': 0.157}
{'label': 'C', 'dimension': 256, 'alpha': 10.0, 'cosine': 0.7621258019669934, 'forward_two_way': 0.8666716716716717, 'top1': 0.058, 'top5': 0.157}
{'label': 'C', 'dimension': 256, 'alpha': 100.0, 'cosine': 0.7621301446847986, 'forward_two_way': 0.8666566566566567, 'top1': 0.058, 'top5': 0.157}
{'label': 'C', 'dimension': 256, 'alpha': 1000.0, 'cosine': 0.7621729649929342, 'forward_two_way': 0.8664374374374374, 'top1': 0.058, 'top5': 0.157}
{'label': 'shuffle1', 'dimension': 256, 'alpha': 0.1, 'cosine': 0.700806371293836, 'forward_two_way': 0.506058058058058, 'top1': 0.001, 'top5': 0.007}
{'label': 'shuffle1', 'dimension': 256, 'alpha': 1.0, 'cosine': 0.7008064353625708, 'forward_two_way': 0.506058058058058, 'top1': 0.001, 'top5': 0.007}
{'label': 'shuffle1', 'dimension': 256, 'alpha': 10.0, 'cosine': 0.7008070753350405, 'forward_two_way': 0.5060610610610611, 'top1': 0.001, 'top5': 0.007}
{'label': 'shuffle1', 'dimension': 256, 'alpha': 100.0, 'cosine': 0.7008134676724339, 'forward_two_way': 0.5060500500500501, 'top1': 0.001, 'top5': 0.007}
{'label': 'shuffle1', 'dimension': 256, 'alpha': 1000.0, 'cosine': 0.7008768923263603, 'forward_two_way': 0.50603003003003, 'top1': 0.001, 'top5': 0.006}
{'label': 'shuffle2', 'dimension': 256, 'alpha': 0.1, 'cosine': 0.6991696900837461, 'forward_two_way': 0.49604804804804803, 'top1': 0.002, 'top5': 0.004}
{'label': 'shuffle2', 'dimension': 256, 'alpha': 1.0, 'cosine': 0.6991697529516548, 'forward_two_way': 0.49604704704704705, 'top1': 0.002, 'top5': 0.004}
{'label': 'shuffle2', 'dimension': 256, 'alpha': 10.0, 'cosine': 0.6991703786305856, 'forward_two_way': 0.49604404404404406, 'top1': 0.002, 'top5': 0.004}
{'label': 'shuffle2', 'dimension': 256, 'alpha': 100.0, 'cosine': 0.6991766308564915, 'forward_two_way': 0.4960510510510511, 'top1': 0.002, 'top5': 0.004}
{'label': 'shuffle2', 'dimension': 256, 'alpha': 1000.0, 'cosine': 0.6992386739054418, 'forward_two_way': 0.496037037037037, 'top1': 0.002, 'top5': 0.004}
{'label': 'shuffle3', 'dimension': 256, 'alpha': 0.1, 'cosine': 0.6994414068086078, 'forward_two_way': 0.4991851851851852, 'top1': 0.0, 'top5': 0.002}
{'label': 'shuffle3', 'dimension': 256, 'alpha': 1.0, 'cosine': 0.6994414736315765, 'forward_two_way': 0.49918418418418414, 'top1': 0.0, 'top5': 0.002}
{'label': 'shuffle3', 'dimension': 256, 'alpha': 10.0, 'cosine': 0.6994421398472828, 'forward_two_way': 0.49918418418418414, 'top1': 0.0, 'top5': 0.002}
{'label': 'shuffle3', 'dimension': 256, 'alpha': 100.0, 'cosine': 0.69944879740857, 'forward_two_way': 0.49918918918918914, 'top1': 0.0, 'top5': 0.002}
{'label': 'shuffle3', 'dimension': 256, 'alpha': 1000.0, 'cosine': 0.6995148629082891, 'forward_two_way': 0.49920620620620615, 'top1': 0.0, 'top5': 0.002}
{'label': 'shuffle4', 'dimension': 256, 'alpha': 0.1, 'cosine': 0.6990981529820086, 'forward_two_way': 0.49746946946946946, 'top1': 0.001, 'top5': 0.005}
{'label': 'shuffle4', 'dimension': 256, 'alpha': 1.0, 'cosine': 0.6990982193265568, 'forward_two_way': 0.49746946946946946, 'top1': 0.001, 'top5': 0.005}
{'label': 'shuffle4', 'dimension': 256, 'alpha': 10.0, 'cosine': 0.6990988810213421, 'forward_two_way': 0.49747047047047044, 'top1': 0.001, 'top5': 0.005}
{'label': 'shuffle4', 'dimension': 256, 'alpha': 100.0, 'cosine': 0.6991054926826612, 'forward_two_way': 0.4974734734734735, 'top1': 0.001, 'top5': 0.005}
{'label': 'shuffle4', 'dimension': 256, 'alpha': 1000.0, 'cosine': 0.6991711069501757, 'forward_two_way': 0.49749449449449445, 'top1': 0.001, 'top5': 0.005}
{'label': 'shuffle5', 'dimension': 256, 'alpha': 0.1, 'cosine': 0.7001109443947178, 'forward_two_way': 0.5019509509509509, 'top1': 0.002, 'top5': 0.006}
{'label': 'shuffle5', 'dimension': 256, 'alpha': 1.0, 'cosine': 0.7001110085745545, 'forward_two_way': 0.5019509509509509, 'top1': 0.002, 'top5': 0.006}
{'label': 'shuffle5', 'dimension': 256, 'alpha': 10.0, 'cosine': 0.7001116497171074, 'forward_two_way': 0.501951951951952, 'top1': 0.002, 'top5': 0.006}
{'label': 'shuffle5', 'dimension': 256, 'alpha': 100.0, 'cosine': 0.7001180556109698, 'forward_two_way': 0.501950950950951, 'top1': 0.002, 'top5': 0.006}
{'label': 'shuffle5', 'dimension': 256, 'alpha': 1000.0, 'cosine': 0.700181611917727, 'forward_two_way': 0.5019299299299299, 'top1': 0.002, 'top5': 0.006}
PCA fit7500 dimension=1024
{'label': 'C', 'dimension': 1024, 'alpha': 0.1, 'cosine': 0.7584336807444174, 'forward_two_way': 0.8986916916916916, 'top1': 0.088, 'top5': 0.225}
{'label': 'C', 'dimension': 1024, 'alpha': 1.0, 'cosine': 0.7584341698994654, 'forward_two_way': 0.8986896896896897, 'top1': 0.088, 'top5': 0.225}
{'label': 'C', 'dimension': 1024, 'alpha': 10.0, 'cosine': 0.7584390640506935, 'forward_two_way': 0.8986856856856857, 'top1': 0.088, 'top5': 0.225}
{'label': 'C', 'dimension': 1024, 'alpha': 100.0, 'cosine': 0.7584878419039632, 'forward_two_way': 0.8986426426426426, 'top1': 0.087, 'top5': 0.225}
