label,dimension,alpha,cosine,forward_two_way,top1,top5
C,256,0.1,0.7621253235344203,0.8666766766766767,0.058,0.157
C,256,1.0,0.7621253671698899,0.8666766766766767,0.058,0.157
C,256,10.0,0.7621258019669934,0.8666716716716717,0.058,0.157
C,256,100.0,0.7621301446847986,0.8666566566566567,0.058,0.157
C,256,1000.0,0.7621729649929342,0.8664374374374374,0.058,0.157
shuffle1,256,0.1,0.700806371293836,0.506058058058058,0.001,0.007
shuffle1,256,1.0,0.7008064353625708,0.506058058058058,0.001,0.007
shuffle1,256,10.0,0.7008070753350405,0.5060610610610611,0.001,0.007
shuffle1,256,100.0,0.7008134676724339,0.5060500500500501,0.001,0.007
shuffle1,256,1000.0,0.7008768923263603,0.50603003003003,0.001,0.006
shuffle2,256,0.1,0.6991696900837461,0.49604804804804803,0.002,0.004
shuffle2,256,1.0,0.6991697529516548,0.49604704704704705,0.002,0.004
shuffle2,256,10.0,0.6991703786305856,0.49604404404404406,0.002,0.004
shuffle2,256,100.0,0.6991766308564915,0.4960510510510511,0.002,0.004
shuffle2,256,1000.0,0.6992386739054418,0.496037037037037,0.002,0.004
shuffle3,256,0.1,0.6994414068086078,0.4991851851851852,0.0,0.002
shuffle3,256,1.0,0.6994414736315765,0.49918418418418414,0.0,0.002
shuffle3,256,10.0,0.6994421398472828,0.49918418418418414,0.0,0.002
shuffle3,256,100.0,0.69944879740857,0.49918918918918914,0.0,0.002
shuffle3,256,1000.0,0.6995148629082891,0.49920620620620615,0.0,0.002
shuffle4,256,0.1,0.6990981529820086,0.49746946946946946,0.001,0.005
shuffle4,256,1.0,0.6990982193265568,0.49746946946946946,0.001,0.005
shuffle4,256,10.0,0.6990988810213421,0.49747047047047044,0.001,0.005
shuffle4,256,100.0,0.6991054926826612,0.4974734734734735,0.001,0.005
shuffle4,256,1000.0,0.6991711069501757,0.49749449449449445,0.001,0.005
shuffle5,256,0.1,0.7001109443947178,0.5019509509509509,0.002,0.006
shuffle5,256,1.0,0.7001110085745545,0.5019509509509509,0.002,0.006
shuffle5,256,10.0,0.7001116497171074,0.501951951951952,0.002,0.006
shuffle5,256,100.0,0.7001180556109698,0.501950950950951,0.002,0.006
shuffle5,256,1000.0,0.700181611917727,0.5019299299299299,0.002,0.006
C,1024,0.1,0.7584336807444174,0.8986916916916916,0.088,0.225
C,1024,1.0,0.7584341698994654,0.8986896896896897,0.088,0.225
C,1024,10.0,0.7584390640506935,0.8986856856856857,0.088,0.225
C,1024,100.0,0.7584878419039632,0.8986426426426426,0.087,0.225
C,1024,1000.0,0.7589597526529059,0.8982242242242242,0.087,0.225
shuffle1,1024,0.1,0.6807389684997843,0.5104694694694695,0.001,0.005
shuffle1,1024,1.0,0.6807397002361116,0.5104684684684685,0.001,0.005
shuffle1,1024,10.0,0.6807470235760003,0.5104564564564564,0.001,0.005
shuffle1,1024,100.0,0.6808200499863237,0.5104594594594595,0.001,0.005
shuffle1,1024,1000.0,0.6815302249314118,0.5103373373373373,0.001,0.006
shuffle2,1024,0.1,0.6790725911382138,0.501035035035035,0.001,0.006
shuffle2,1024,1.0,0.6790733273575404,0.501037037037037,0.001,0.006
shuffle2,1024,10.0,0.6790806921042566,0.501033033033033,0.001,0.006
shuffle2,1024,100.0,0.6791541338978724,0.5010270270270271,0.001,0.006
shuffle2,1024,1000.0,0.6798683080936379,0.500961961961962,0.001,0.006
shuffle3,1024,0.1,0.6789691340921674,0.5043603603603604,0.002,0.007
shuffle3,1024,1.0,0.678969880406054,0.5043623623623623,0.002,0.007
shuffle3,1024,10.0,0.6789773499731707,0.5043543543543543,0.002,0.007
shuffle3,1024,100.0,0.6790518357522379,0.5043473473473473,0.002,0.007
shuffle3,1024,1000.0,0.6797763065608194,0.5042602602602603,0.002,0.006
shuffle4,1024,0.1,0.6770577175991885,0.49350550550550554,0.001,0.002
shuffle4,1024,1.0,0.6770584901130106,0.4935035035035035,0.001,0.002
shuffle4,1024,10.0,0.6770662169060531,0.49350550550550554,0.001,0.002
shuffle4,1024,100.0,0.6771432719406719,0.49353053053053053,0.001,0.002
shuffle4,1024,1000.0,0.6778929395471416,0.4936156156156156,0.001,0.002
shuffle5,1024,0.1,0.6785881780578221,0.5036826826826827,0.002,0.009
shuffle5,1024,1.0,0.6785889415935653,0.5036846846846846,0.002,0.009
shuffle5,1024,10.0,0.6785965808563531,0.5036816816816817,0.002,0.009
shuffle5,1024,100.0,0.6786727590580566,0.5036906906906907,0.002,0.009
shuffle5,1024,1000.0,0.679413696331882,0.5036996996996997,0.002,0.009
