method,image_id,CLIP_cosine,CLIP_forward_two_way,CLIP_top1,CLIP_top5,AlexNet5_forward_two_way,Inception_forward_two_way,PixCorr,SSIM
Uniform,95,0.8323088923118469,0.9924849699398798,0.125,0.5,0.9964929859719438,0.9849699398797596,0.05798143565053899,0.5998446970597613
Uniform,204,0.6155566639641249,0.7910821643286573,0.0,0.0,0.8837675350701403,0.9884769539078155,-0.07267309741753779,0.1464895266748542
Uniform,318,0.5654183968135534,0.7332164328657315,0.0,0.0,0.6848697394789578,0.6470440881763527,0.04772454990307767,0.41669392633117597
Uniform,356,0.5810767313145508,0.8056112224448898,0.0,0.0,0.7419839679358717,0.5130260521042084,0.14126183307188633,0.2898753496603116
Uniform,425,0.6620298931173093,0.9802104208416833,0.0,0.375,0.9035571142284569,0.7349699398797596,0.04629044810176311,0.19691144971837604
Uniform,458,0.6341550329931755,0.9576653306613226,0.0,0.0,0.939629258517034,0.8246492985971945,-0.04085186832586915,0.2122715869046412
Uniform,637,0.5112070887560012,0.8542084168336674,0.0,0.0,0.7116733466933868,0.12700400801603207,0.18541553251499182,0.38132900122739677
Uniform,709,0.691417574818852,0.9939879759519037,0.25,0.875,0.8041082164328657,0.9892284569138277,0.029833516182086406,0.26074456041868427
Uniform,868,0.44338850806471036,0.3339178356713427,0.0,0.0,0.8183867735470942,0.2221943887775551,-0.015213256034695515,0.06548578523194654
Uniform,1015,0.6805000818866812,0.9912324649298596,0.125,0.625,0.9714428857715431,0.9832164328657315,0.051617199021042115,0.6333762300488239
Uniform,1288,0.6893746211477818,0.9817134268537074,0.125,0.625,0.9929859719438878,0.9942384769539078,0.48220816405867184,0.3898224020078148
Uniform,1589,0.6101937797117731,0.9403807615230462,0.0,0.0,0.909068136272545,0.9819639278557113,-0.008393692699450655,0.27992187608481955
Uniform,1744,0.592309303304921,0.8795090180360721,0.0,0.0,0.875,0.5483466933867736,0.5513308970570632,0.4077914387010446
Uniform,1818,0.621237554939231,0.9496492985971944,0.0,0.0,0.7292084168336673,0.42309619238476953,0.03662864431355568,0.08232870258770345
Uniform,2070,0.33242036822604737,0.13802605210420843,0.0,0.0,0.782815631262525,0.9777054108216433,0.03905712384591048,0.2600717529926281
Uniform,2125,0.5696465169692533,0.8301603206412826,0.0,0.0,0.8704909819639279,0.592184368737475,0.12364501333012143,0.34918423278405997
Uniform,2327,0.6161649862971985,0.8960420841683367,0.0,0.125,0.9448897795591182,0.7875751503006012,0.17701283588037084,0.39849932640516034
Uniform,2737,0.7635850041590676,0.9674348697394789,0.0,0.0,0.9446392785571143,0.9313627254509018,0.04074881960408336,0.11167015810324996
Uniform,2795,0.7248624918394535,0.9797094188376754,0.125,0.375,0.9634268537074149,0.5731462925851704,-0.0179655250881944,0.22400153667016248
Uniform,2980,0.8538944059329407,0.9849699398797596,0.0,0.125,0.9611723446893787,0.9924849699398798,0.04558876153145679,0.08584991093196004
Uniform,3338,0.484020649394169,0.6099699398797596,0.0,0.0,0.7735470941883767,0.08817635270541083,0.3632453324599382,0.3674729678410303
Uniform,3344,0.3742960647042888,0.20265531062124248,0.0,0.0,0.7680360721442886,0.746743486973948,0.1079947864780141,0.20898220865127975
Uniform,3368,0.6252308915023885,0.938376753507014,0.0,0.0,0.8900300601202404,0.9754509018036072,0.0629767813474786,0.21736430418047165
Uniform,3731,0.5057697512611923,0.4516533066132265,0.0,0.0,0.8649799599198397,0.843436873747495,0.3150917471286754,0.4361692133591083
Uniform,3803,0.5436670381139492,0.7885771543086173,0.0,0.0,0.905811623246493,0.563376753507014,0.30034911678524023,0.5029436383796553
Uniform,4292,0.5279901187592713,0.8176352705410821,0.125,0.25,0.8306613226452906,0.9296092184368738,0.1130568698878326,0.367908151019428
Uniform,4409,0.6531175304392608,0.9979959919839679,0.75,0.875,0.9423847695390781,0.9110721442885772,0.09211980203783153,0.2948740378439661
Uniform,4476,0.5974768190446184,0.9714428857715431,0.125,0.375,0.9190881763527055,0.9904809619238477,0.07066036506056514,0.5043685832630909
Uniform,4509,0.6476677220108822,0.9453907815631263,0.0,0.125,0.7813126252505009,0.1778557114228457,0.004312859993353018,0.15199148275374177
Uniform,4927,0.5710376256822998,0.8855210420841684,0.125,0.125,0.7229458917835672,0.9343687374749499,0.1182114460002602,0.2704458379313094
Uniform,4967,0.7764528981400335,0.9711923847695391,0.0,0.125,0.9200901803607214,0.9869739478957915,-0.07767317507864951,0.3006244525081919
Uniform,5340,0.6490924105374022,0.9834669338677355,0.125,0.625,0.8569639278557115,0.9596693386773547,-0.16486566544785608,0.12547611838133566
Uniform,5582,0.7731303620144422,0.9974949899799599,0.0,1.0,0.9822144288577154,0.9909819639278556,0.16508304368021337,0.6426363415963785
Uniform,5656,0.6318356096478039,0.876503006012024,0.0,0.0,0.8597194388777556,0.8356713426853708,0.026338466939999385,0.1705639604520698
Uniform,5683,0.7199570664765428,0.9947394789579158,0.25,0.875,0.7813126252505009,0.35395791583166336,0.0377682490222992,0.37994904946942754
Uniform,5790,0.5331170948955901,0.5232965931863727,0.0,0.0,0.785571142284569,0.8186372745490982,-0.09868135002165185,0.19737541018763988
Uniform,5929,0.4417772861410877,0.3203907815631263,0.0,0.0,0.9574148296593187,0.9223446893787575,-0.06601407887950542,0.3737991320295353
Uniform,6315,0.6683850723230896,0.9711923847695391,0.0,0.0,0.717434869739479,0.686122244488978,0.07919840626935121,0.3631243215492751
