method,image_id,candidate_index,uses_ground_truth,diagnostic_only,deployable,ranking_scores
C-selected,95,4,False,False,True,"[0.8546272019484832, 0.8355807222003435, 0.8376223315577211, 0.847896663972719, 0.8796814635873269, 0.8544267732594468, 0.8482746274486599, 0.8546600904962001]"
C-selected,204,0,False,False,True,"[0.7962087032449283, 0.692469940403512, 0.6961849442510186, 0.7804629990676515, 0.7756414294809035, 0.7286302598598996, 0.736900042370064, 0.7624879012936632]"
C-selected,318,7,False,False,True,"[0.6672161245518001, 0.7387202003408964, 0.6752774141152236, 0.7498224735308623, 0.7233441147612858, 0.7017729753973672, 0.7046132589864886, 0.7691944043845249]"
C-selected,356,1,False,False,True,"[0.6687739822272921, 0.793557314678508, 0.7886801166401399, 0.7172573027369766, 0.7730938089890426, 0.6590617824121262, 0.6754792628034048, 0.7583337822754241]"
C-selected,425,2,False,False,True,"[0.7005021811108212, 0.7841402021471613, 0.7971583394473802, 0.7627921338013668, 0.7589031939800066, 0.6809543932277482, 0.7477619986044525, 0.7653882628661359]"
C-selected,458,3,False,False,True,"[0.6600310276566744, 0.7570509864249212, 0.7366049985328705, 0.8014753647841539, 0.7221912437683973, 0.7931715063118389, 0.7726321249508419, 0.6943461090542947]"
C-selected,637,2,False,False,True,"[0.5044384230122265, 0.6016034541691939, 0.7600607979302121, 0.5901948762517276, 0.6751677128771085, 0.6904074345732729, 0.5695278030631663, 0.6497497591490811]"
C-selected,709,2,False,False,True,"[0.7165303742188633, 0.7201790713588263, 0.748368943738239, 0.6890750694098393, 0.7193520849116709, 0.7354903175150653, 0.7282080560817573, 0.6823380249402767]"
C-selected,868,6,False,False,True,"[0.6476785285694402, 0.6150473629513307, 0.6922072413210196, 0.6269897926910946, 0.6198969958459739, 0.6262193387315784, 0.719978613348822, 0.5857595060873657]"
C-selected,1015,4,False,False,True,"[0.7442255448614132, 0.7009091937180957, 0.7365217412966829, 0.7176233805780659, 0.7877762597818023, 0.7378257065302307, 0.7527889240353356, 0.6608994511477748]"
C-selected,1288,2,False,False,True,"[0.7044419208186811, 0.7882566858121212, 0.8379772628789475, 0.7763654826685632, 0.7952012683539569, 0.7819823410087494, 0.7419183050857969, 0.7729789877952151]"
C-selected,1589,3,False,False,True,"[0.709039969035206, 0.708474184452463, 0.750201708471545, 0.7911402907978304, 0.7243749011620834, 0.691993315537339, 0.7531345130133842, 0.6892381119652187]"
