image_id,common_scores,residual_scores,common_std,residual_std,same_as_C,same_as_Mean
95,"[0.5506645402401378, 0.5357593491736804, 0.5321918657601893, 0.5425347794149867, 0.5639079717105236, 0.5520021835018349, 0.5401909500525628, 0.5418811054603938]","[0.1674680057376191, 0.16636867815283196, 0.17165170036776004, 0.16994217970417758, 0.17527735688083904, 0.1659619447559886, 0.17260360704692, 0.1762790763525573]",0.009532212985930376,0.003688445740476236,False,False
204,"[0.5571378783959534, 0.5148062576130863, 0.5197115874320022, 0.5605202410815593, 0.5615371558642952, 0.5063573738084335, 0.5389200440197268, 0.548727763041593]","[0.07564670637295028, 0.03553224272906642, 0.03357940156981864, 0.05975049042361448, 0.054901647031645365, 0.07271943677708542, 0.04672915251246226, 0.05725731102886804]",0.020661836882470086,0.014458105136009154,True,False
318,"[0.4774682078100301, 0.5385927197536906, 0.5013619693220372, 0.5368281236305033, 0.5236493737482695, 0.5141340008957918, 0.47715475304804855, 0.5356957857546065]","[0.05494350198726025, 0.050876374971040375, 0.0374823262622285, 0.061500139861585486, 0.05355022131631919, 0.04585269003112439, 0.0850983702781283, 0.07809050167957649]",0.023809915070318974,0.014988252549309695,False,False
356,"[0.44071332080283077, 0.562985317739672, 0.552122697501082, 0.5189365745940374, 0.5491036172143753, 0.4609855554673107, 0.480004840161723, 0.5366273514723781]","[0.07950735393441005, 0.05430083970001932, 0.061369623273647755, 0.0389979263076866, 0.05226454846701151, 0.05168026923793298, 0.04543168578729828, 0.05325940006887436]",0.04322157451157376,0.011233613721631844,False,False
425,"[0.4906462622189358, 0.5237479064083692, 0.5414908288173115, 0.5105682252300707, 0.511024193341483, 0.44286837311758825, 0.5021399250761643, 0.5147694207269695]","[0.0939018972900885, 0.1305936849843958, 0.12371400954923346, 0.12595904038740802, 0.12225786808346525, 0.12536774092227926, 0.12184514138271058, 0.12392423709824223]",0.027201583804592394,0.010536869242249164,False,False
458,"[0.48811255572837986, 0.5403347305376618, 0.5143569588962189, 0.5622285074134641, 0.505926930661613, 0.555095784522111, 0.5441684275229397, 0.4819406019305552]","[0.02316615179263278, 0.046098381919255964, 0.05623811288471453, 0.05861698536831872, 0.053502838886986426, 0.05931730455550635, 0.05433427565537394, 0.055919538478154944]",0.028675943318242178,0.011151709408500986,False,False
637,"[0.35555920185971657, 0.42413236749924793, 0.5430602647898003, 0.42496860527844404, 0.4869597166553504, 0.48824566470971426, 0.37952589431150957, 0.47996411329874833]","[0.04620155909487774, 0.0550156325611461, 0.062291331396592056, 0.04509301528262344, 0.05077865084982536, 0.06163040267332918, 0.07407540389473305, 0.03753008570970377]",0.058661668879026185,0.010913067580648316,False,False
709,"[0.46351534727756005, 0.4549062492675567, 0.4598414932417385, 0.41670553674131294, 0.44171960862983095, 0.45203992905945156, 0.4647368832685922, 0.418651344242923]","[0.10687778743536219, 0.11839142637505093, 0.1358966960932294, 0.13183183590208025, 0.13091974545526758, 0.13344624550190592, 0.11495225591757745, 0.12452301232751783]",0.017984595330454798,0.009642470784809187,True,False
868,"[0.446663422468197, 0.4670093055326443, 0.5105468758238114, 0.46061900801047595, 0.44522226284813143, 0.4836726663934614, 0.532084689818465, 0.4157811754263732]","[0.06704389246710911, 0.020816545476548, 0.03847846256931066, 0.0366790012451356, 0.04645008265306087, 0.013014256007536529, 0.03896755903590516, 0.048814962621624484]",0.03514317181931656,0.015610404160177654,False,False
1015,"[0.44095202498118446, 0.40135410371667624, 0.46621469917682845, 0.43246560453923094, 0.5003580561871486, 0.44903351153970406, 0.4635767011152634, 0.38325569462384634]","[0.15356111719561438, 0.15855643686487303, 0.12214437788408705, 0.14079680741741474, 0.12894490548743123, 0.1403672181138141, 0.13777716494623876, 0.1446936778180149]",0.03482427459534135,0.011130890832064703,False,False
