method,image_id,candidate_index,scores
E-selected,95,7,"[0.1674680057376191, 0.16636867815283196, 0.17165170036776004, 0.16994217970417758, 0.17527735688083904, 0.1659619447559886, 0.17260360704692, 0.1762790763525573]"
E-selected,204,0,"[0.07564670637295028, 0.03553224272906642, 0.03357940156981864, 0.05975049042361448, 0.054901647031645365, 0.07271943677708542, 0.04672915251246226, 0.05725731102886804]"
E-selected,318,6,"[0.05494350198726025, 0.050876374971040375, 0.0374823262622285, 0.061500139861585486, 0.05355022131631919, 0.04585269003112439, 0.0850983702781283, 0.07809050167957649]"
E-selected,356,0,"[0.07950735393441005, 0.05430083970001932, 0.061369623273647755, 0.0389979263076866, 0.05226454846701151, 0.05168026923793298, 0.04543168578729828, 0.05325940006887436]"
E-selected,425,1,"[0.0939018972900885, 0.1305936849843958, 0.12371400954923346, 0.12595904038740802, 0.12225786808346525, 0.12536774092227926, 0.12184514138271058, 0.12392423709824223]"
E-selected,458,5,"[0.02316615179263278, 0.046098381919255964, 0.05623811288471453, 0.05861698536831872, 0.053502838886986426, 0.05931730455550635, 0.05433427565537394, 0.055919538478154944]"
E-selected,637,6,"[0.04620155909487774, 0.0550156325611461, 0.062291331396592056, 0.04509301528262344, 0.05077865084982536, 0.06163040267332918, 0.07407540389473305, 0.03753008570970377]"
E-selected,709,2,"[0.10687778743536219, 0.11839142637505093, 0.1358966960932294, 0.13183183590208025, 0.13091974545526758, 0.13344624550190592, 0.11495225591757745, 0.12452301232751783]"
E-selected,868,0,"[0.06704389246710911, 0.020816545476548, 0.03847846256931066, 0.0366790012451356, 0.04645008265306087, 0.013014256007536529, 0.03896755903590516, 0.048814962621624484]"
E-selected,1015,1,"[0.15356111719561438, 0.15855643686487303, 0.12214437788408705, 0.14079680741741474, 0.12894490548743123, 0.1403672181138141, 0.13777716494623876, 0.1446936778180149]"
E-selected,1288,5,"[0.11709053703519852, 0.1192683827766226, 0.14575898429637751, 0.13019076459949291, 0.12480461220115008, 0.15009277078281835, 0.10449083831020729, 0.10043537934025115]"
E-selected,1589,2,"[0.1175515999191265, 0.05004731308207653, 0.130954145840689, 0.11674204815977254, 0.10047542997905584, 0.10051275475070498, 0.12500349121810544, 0.08939364338726145]"
E-selected,1744,0,"[0.11707416523588612, 0.11397337725120407, 0.092590696462379, 0.07758529229798408, 0.11215035551494251, 0.040563502960502346, 0.046213819387221466, 0.07758321639467192]"
E-selected,1818,5,"[0.042196038345214126, 0.06480311055269902, 0.06127689633333611, 0.05898120528716784, 0.06952995090252562, 0.08845053005052034, 0.07133606610414049, 0.07887685064646943]"
E-selected,2070,0,"[0.10255025430680095, 0.07581753390184612, 0.05769674434393021, 0.046356018444506944, 0.06324119790576363, 0.08346818445419998, 0.08586752798871458, 0.013062832316082337]"
E-selected,2125,7,"[0.055088518456783364, 0.011581124489569777, 0.04437509780987976, 0.05782483700041717, 0.04451387872571767, 0.03469224696707825, 0.007116338303417531, 0.06343891984719499]"
E-selected,2327,6,"[0.033378069828209886, 0.03830707600571696, 0.06465088727317339, 0.06144829401966512, 0.05217316074511223, 0.031818891940688106, 0.1022504613662452, 0.05876639486556731]"
